engine_id,flight_id,t_s,engine_hours_h,seq,altitude_m,oat_c,ambient_pressure_kpa,throttle_pct,engine_load_pct,map_kpa,rpm,cht_1_c,cht_2_c,cht_3_c,cht_4_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,coolant_temp_c,oil_temp_c,oil_pressure_bar,fuel_flow_lph,fuel_pressure_bar,vib_rms_g,vib_1x_g,vib_high_g,vib_kurtosis,battery_voltage_v,alternator_current_a,injection_timing_deg,fault_class,fault_severity,time_to_failure_s,health_index_true
E001,T1-0000,0.0,259.88035,0,0.0,15.053,101.325,92.0,89.946,94.255,5279.802,106.994,108.515,111.01,111.366,800.992,800.597,796.559,800.234,89.728,112.759,3.782,20.31,3.031,0.737,0.371,0.242,2.958,14.182,10.777,22.774,NORMAL,0.0,-1.0,100.0
E001,T1-0000,1.0,259.88063,1,13.484,14.965,101.163,92.0,89.802,94.056,5282.29,107.434,108.791,110.974,111.75,799.904,800.62,796.086,804.376,89.835,112.754,3.782,20.277,3.04,0.727,0.377,0.243,2.945,14.189,11.251,22.784,NORMAL,0.0,-1.0,100.0
E001,T1-0000,2.0,259.8809,2,26.969,14.877,101.001,92.0,89.659,93.945,5281.754,107.51,108.878,111.087,111.857,798.919,799.118,792.841,803.347,89.681,112.81,3.784,20.235,3.041,0.736,0.371,0.245,3.015,14.179,11.217,22.788,NORMAL,0.0,-1.0,100.0
E001,T1-0000,3.0,259.88118,3,40.453,14.79,100.84,92.0,89.515,93.686,5282.91,107.419,108.463,111.471,111.833,796.487,796.672,793.197,799.274,89.663,112.761,3.786,20.199,3.067,0.75,0.365,0.243,3.018,14.199,11.234,22.794,NORMAL,0.0,-1.0,100.0
E001,T1-0000,4.0,259.88146,4,53.937,14.702,100.679,92.0,89.372,93.623,5277.055,107.099,108.971,111.451,112.22,799.977,795.33,796.006,798.268,89.739,112.839,3.787,20.14,3.034,0.782,0.37,0.246,3.041,14.226,11.083,22.787,NORMAL,0.0,-1.0,100.0
E001,T1-0000,5.0,259.88174,5,67.421,14.615,100.518,92.0,89.229,93.469,5276.18,107.238,108.762,111.532,112.564,798.433,796.747,796.557,800.683,89.784,112.803,3.787,20.098,3.067,0.763,0.382,0.242,3.046,14.213,11.104,22.79,NORMAL,0.0,-1.0,100.0
E001,T1-0000,6.0,259.88202,6,80.906,14.527,100.357,92.0,89.087,93.276,5271.831,106.769,108.668,111.577,111.856,799.844,795.867,798.741,798.951,89.793,112.806,3.785,20.044,3.038,0.761,0.375,0.24,3.061,14.213,10.989,22.785,NORMAL,0.0,-1.0,100.0
E001,T1-0000,7.0,259.88229,7,94.39,14.439,100.196,92.0,88.944,93.09,5273.144,107.214,109.055,111.218,111.959,800.551,795.129,797.575,796.149,89.858,112.777,3.783,20.009,3.071,0.768,0.377,0.239,3.036,14.206,11.013,22.792,NORMAL,0.0,-1.0,100.0
E001,T1-0000,8.0,259.88257,8,107.874,14.352,100.036,92.0,88.802,93.02,5270.792,106.23,108.372,110.586,112.315,799.684,798.433,798.142,796.685,89.902,112.815,3.78,19.962,3.088,0.755,0.37,0.243,3.05,14.211,11.052,22.791,NORMAL,0.0,-1.0,100.0
E001,T1-0000,9.0,259.88285,9,121.359,14.264,99.876,92.0,88.659,92.885,5270.458,106.415,108.307,110.521,112.294,798.077,797.307,797.821,793.727,89.808,112.694,3.78,19.921,3.063,0.744,0.383,0.246,3.031,14.216,11.325,22.794,NORMAL,0.0,-1.0,100.0
E001,T1-0000,10.0,259.88313,10,134.843,14.176,99.716,92.0,88.517,92.788,5263.733,106.769,108.246,110.456,111.586,795.445,797.672,797.21,796.184,89.818,112.761,3.779,19.861,3.061,0.733,0.38,0.247,2.999,14.188,11.466,22.784,NORMAL,0.0,-1.0,100.0
E001,T1-0000,11.0,259.8834,11,148.327,14.089,99.556,92.0,88.376,92.579,5261.03,107.028,108.044,109.962,111.431,794.164,797.26,796.822,797.268,89.642,112.698,3.771,19.814,3.044,0.76,0.373,0.248,3.012,14.253,10.916,22.783,NORMAL,0.0,-1.0,100.0
E001,T1-0000,12.0,259.88368,12,161.811,14.001,99.396,92.0,88.234,92.397,5258.335,106.564,108.139,109.79,111.589,795.65,795.889,795.471,795.884,89.663,112.592,3.781,19.766,3.043,0.761,0.37,0.245,3.037,14.202,11.18,22.781,NORMAL,0.0,-1.0,100.0
E001,T1-0000,13.0,259.88396,13,175.296,13.913,99.237,92.0,88.092,92.247,5263.42,106.394,108.456,109.551,111.829,797.651,796.422,793.075,795.52,89.702,112.647,3.779,19.743,3.054,0.749,0.37,0.243,3.013,14.237,11.009,22.793,NORMAL,0.0,-1.0,100.0
E001,T1-0000,14.0,259.88424,14,188.78,13.826,99.078,92.0,87.951,92.144,5257.158,106.266,108.63,109.169,111.745,797.472,798.577,797.542,794.128,89.76,112.751,3.774,19.685,3.035,0.752,0.368,0.247,3.034,14.154,11.246,22.784,NORMAL,0.0,-1.0,100.0
E001,T1-0000,15.0,259.88452,15,202.264,13.738,98.919,92.0,87.81,91.942,5259.095,105.976,108.196,108.705,111.33,795.593,798.065,795.407,793.736,89.707,112.635,3.779,19.653,3.023,0.772,0.375,0.247,3.029,14.183,11.361,22.791,NORMAL,0.0,-1.0,100.0
E001,T1-0000,16.0,259.88479,16,215.748,13.65,98.76,92.0,87.669,91.781,5258.362,106.06,107.804,108.485,110.626,795.681,794.663,796.461,796.21,89.606,112.617,3.777,19.612,3.053,0.754,0.369,0.253,2.993,14.214,11.017,22.792,NORMAL,0.0,-1.0,100.0
E001,T1-0000,17.0,259.88507,17,229.233,13.563,98.601,92.0,87.528,91.667,5253.528,105.965,108.237,108.631,111.616,797.343,796.579,796.316,796.515,89.412,112.545,3.774,19.559,3.037,0.74,0.367,0.252,2.993,14.218,11.227,22.785,NORMAL,0.0,-1.0,100.0
E001,T1-0000,18.0,259.88535,18,242.717,13.475,98.443,92.0,87.388,91.553,5255.016,105.655,108.421,107.93,111.678,796.359,796.481,797.578,793.821,89.236,112.648,3.779,19.526,3.075,0.728,0.366,0.254,3.003,14.2,11.362,22.791,NORMAL,0.0,-1.0,100.0
E001,T1-0000,19.0,259.88563,19,256.201,13.387,98.285,92.0,87.247,91.367,5253.868,105.986,108.357,107.469,110.949,795.966,796.678,798.59,795.425,89.306,112.6,3.781,19.485,3.042,0.731,0.363,0.252,3.017,14.2,11.318,22.791,NORMAL,0.0,-1.0,100.0
E001,T1-0000,20.0,259.8859,20,269.686,13.3,98.127,92.0,87.107,91.216,5246.379,106.054,108.342,107.146,110.656,799.315,795.672,796.979,794.058,89.314,112.705,3.777,19.423,3.037,0.721,0.365,0.253,3.008,14.203,11.267,22.779,NORMAL,0.0,-1.0,100.0
E001,T1-0000,21.0,259.88618,21,283.17,13.212,97.969,92.0,86.967,91.142,5243.315,105.954,107.912,107.062,110.43,797.26,796.963,797.15,797.02,89.189,112.672,3.769,19.375,3.052,0.718,0.36,0.253,3.017,14.227,11.321,22.775,NORMAL,0.0,-1.0,100.0
E001,T1-0000,22.0,259.88646,22,296.654,13.125,97.812,92.0,86.827,90.959,5244.587,106.108,107.561,107.261,110.693,795.809,795.806,794.698,798.795,89.215,112.547,3.768,19.342,3.057,0.756,0.363,0.25,3.077,14.227,11.03,22.78,NORMAL,0.0,-1.0,100.0
E001,T1-0000,23.0,259.88674,23,310.138,13.037,97.654,92.0,86.688,90.762,5245.489,106.09,107.456,107.504,110.903,798.906,796.263,793.163,797.777,89.099,112.499,3.769,19.307,3.057,0.755,0.359,0.25,3.088,14.202,11.386,22.784,NORMAL,0.0,-1.0,100.0
E001,T1-0000,24.0,259.88702,24,323.623,12.949,97.497,92.0,86.548,90.606,5242.594,106.339,108.083,108.006,111.157,802.729,797.763,795.934,798.52,89.024,112.482,3.774,19.26,3.053,0.741,0.357,0.251,3.031,14.175,11.328,22.78,NORMAL,0.0,-1.0,100.0
E001,T1-0000,25.0,259.88729,25,337.107,12.862,97.34,92.0,86.409,90.482,5239.385,106.248,108.092,108.36,111.161,802.696,798.273,796.994,797.449,89.02,112.535,3.769,19.213,3.033,0.74,0.357,0.253,2.987,14.184,11.274,22.776,NORMAL,0.0,-1.0,100.0
