engine_id,flight_id,t_s,engine_hours_h,seq,altitude_m,oat_c,ambient_pressure_kpa,throttle_pct,engine_load_pct,map_kpa,rpm,cht_1_c,cht_2_c,cht_3_c,cht_4_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,coolant_temp_c,oil_temp_c,oil_pressure_bar,fuel_flow_lph,fuel_pressure_bar,vib_rms_g,vib_1x_g,vib_high_g,vib_kurtosis,battery_voltage_v,alternator_current_a,injection_timing_deg,fault_class,fault_severity,time_to_failure_s,health_index_true
E001,T2-MISFIRE-000,0.0,771.03283,0,0.0,24.06,101.325,92.0,89.946,94.238,5248.68,116.841,116.788,117.428,118.511,808.127,810.272,804.749,801.647,97.426,119.826,3.626,19.595,3.059,0.76,0.366,0.25,3.013,14.225,11.085,22.715,NORMAL,0.0,1130.7,100.0
E001,T2-MISFIRE-000,1.0,771.0331,1,29.392,23.869,100.972,92.0,89.633,93.786,5252.759,116.421,116.851,117.956,118.405,805.655,806.91,805.611,801.611,97.371,119.942,3.637,19.523,3.035,0.773,0.367,0.248,2.97,14.193,10.982,22.734,NORMAL,0.0,1129.7,100.0
E001,T2-MISFIRE-000,2.0,771.03338,2,58.785,23.678,100.621,92.0,89.321,93.589,5250.252,116.343,116.839,118.842,118.526,807.971,810.014,808.29,803.844,97.359,119.896,3.627,19.431,3.044,0.775,0.366,0.245,3.001,14.181,10.901,22.739,NORMAL,0.0,1128.7,100.0
E001,T2-MISFIRE-000,3.0,771.03366,3,88.177,23.487,100.27,92.0,89.01,93.138,5252.791,116.37,116.743,118.386,118.684,810.097,811.345,807.788,801.273,97.454,119.912,3.625,19.355,3.049,0.765,0.378,0.242,3.041,14.223,10.895,22.753,NORMAL,0.0,1127.7,100.0
E001,T2-MISFIRE-000,4.0,771.03394,4,117.57,23.296,99.921,92.0,88.699,92.958,5242.933,116.612,116.262,118.014,119.033,807.525,809.247,808.576,797.024,97.334,119.852,3.624,19.241,3.053,0.758,0.374,0.244,3.03,14.18,10.794,22.744,NORMAL,0.0,1126.7,100.0
E001,T2-MISFIRE-000,5.0,771.03421,5,146.962,23.105,99.572,92.0,88.39,92.544,5243.098,116.173,116.933,117.817,119.078,805.185,807.644,808.498,798.649,97.417,120.01,3.625,19.159,3.048,0.744,0.368,0.241,3.015,14.218,11.227,22.753,NORMAL,0.0,1125.7,100.0
E001,T2-MISFIRE-000,6.0,771.03449,6,176.355,22.914,99.224,92.0,88.081,92.285,5243.305,115.72,116.569,117.742,119.008,803.371,807.54,807.966,798.076,97.165,119.815,3.623,19.077,3.061,0.753,0.365,0.24,3.015,14.24,10.933,22.762,NORMAL,0.0,1124.7,100.0
E001,T2-MISFIRE-000,7.0,771.03477,7,205.747,22.723,98.878,92.0,87.774,91.882,5235.98,115.331,116.28,118.126,118.542,802.52,809.705,808.977,797.97,97.362,119.818,3.62,18.973,3.062,0.772,0.362,0.241,2.962,14.181,11.178,22.756,NORMAL,0.0,1123.7,100.0
E001,T2-MISFIRE-000,8.0,771.03505,8,235.14,22.532,98.532,92.0,87.467,91.546,5237.811,115.354,115.848,117.788,118.334,802.313,807.388,810.39,797.494,97.066,119.847,3.625,18.897,3.067,0.755,0.365,0.247,2.935,14.177,11.048,22.768,NORMAL,0.0,1122.7,100.0
E001,T2-MISFIRE-000,9.0,771.03533,9,264.532,22.341,98.187,92.0,87.161,91.205,5234.186,115.466,116.656,117.967,117.719,803.318,805.143,810.635,798.233,97.006,119.844,3.618,18.806,3.044,0.756,0.362,0.244,2.942,14.189,11.329,22.768,NORMAL,0.0,1121.7,100.0
